Datetime – utc,air_humidity_100,air_temperature_100,atm_pressure_main,num_of_resets,piezo_charge,piezo_temperature
2020-09-30T23:00:00Z,38,31.366,9412,0,45123,30
2020-10-01T00:00:00Z,,,9412,0,45025,31
2020-10-01T01:00:00Z,39,31.366,9419,0,44923,31
2020-10-01T02:00:00Z,39,31.322,9419,0,44825,31
2020-10-01T03:00:00Z,38,31.24,9416,0,44728,31
2020-10-01T04:00:00Z,39,30.828,9411,0,44632,30
2020-10-01T05:00:00Z,,,9411,0,44537,30
2020-10-01T06:00:00Z,39,30.686,9413,0,44441,30
2020-10-01T07:00:00Z,40,30.63,9415,0,44347,30
2020-10-01T08:00:00Z,41,30.588,9419,0,44251,30
2020-10-01T09:00:00Z,41,30.474,9425,0,44156,30
2020-10-01T11:00:00Z,44,30.332,9438,0,43968,30
2020-10-01T12:00:00Z,,,9438,0,43874,30
2020-10-01T13:00:00Z,44,30.474,9437,0,43778,30
2020-10-01T14:00:00Z,44,30.516,9432,0,43682,30
2020-10-01T15:00:00Z,44,30.346,9460,0,43581,30
2020-10-01T16:00:00Z,,,9460,0,43259,30
2020-10-01T18:00:00Z,30,34.502,9473,0,42402,35
2020-10-01T19:38:34.924000Z,20,39.018,9378,0,42084,38
2020-10-01T20:00:00Z,22,37.91,9379,0,42033,39
2020-10-01T21:00:00Z,,,9379,0,41914,37
2020-10-01T22:00:00Z,32,30.884,9389,0,41799,31
2020-10-01T23:00:00Z,34,30.276,9394,0,41708,28
2020-10-02T00:00:00Z,39,28.49,9394,0,41621,27
2020-10-02T01:00:00Z,39,27.98,9401,0,41539,26
2020-10-02T03:00:00Z,57,22.626,9400,0,41395,22
2020-10-02T04:00:00Z,62,22.922,9396,0,41330,21
2020-10-02T05:00:00Z,66,20.67,9398,0,41267,20
2020-10-02T06:00:00Z,61,22.116,9397,0,41204,20
2020-10-02T07:00:00Z,70,20.358,9398,0,41142,20
2020-10-02T08:00:00Z,,,9398,0,41083,19
2020-10-02T09:00:00Z,69,19.862,9407,0,41023,19
2020-10-02T10:00:00Z,62,22.356,9414,0,40964,18
2020-10-02T11:00:00Z,39,30.108,9422,0,40891,24
2020-10-02T12:00:00Z,28,34.518,9425,0,40789,32
2020-10-02T14:00:00Z,23,37.684,9422,0,40533,40
2020-10-02T15:00:00Z,19,40.396,9415,0,40391,42
2020-10-02T16:00:00Z,17,42.156,9408,0,40235,45
2020-10-02T17:00:00Z,16,42.52,9399,0,40075,46
2020-10-02T18:00:00Z,16,41.984,9393,0,39915,45
2020-10-02T19:00:00Z,18,39.868,9387,0,39760,44
2020-10-02T20:00:00Z,18,39.968,9387,0,39622,41
2020-10-02T21:00:00Z,23,35.74,9391,0,39495,38
2020-10-02T22:00:00Z,29,31.566,9395,0,39392,32
2020-10-02T23:00:00Z,31,30.134,9403,0,39302,28
2020-10-03T00:00:00Z,33,29.48,9408,0,39217,27
2020-10-03T01:00:00Z,44,25.386,9412,0,39137,25
2020-10-03T02:00:00Z,53,23.774,9414,0,39064,23
2020-10-03T03:00:00Z,46,25.132,9413,0,38994,22
2020-10-03T04:00:00Z,62,21.872,9412,0,38925,22
2020-10-03T05:00:00Z,59,22.172,9412,0,38861,21
2020-10-03T06:00:00Z,67,21.066,9409,0,38797,21
2020-10-03T07:00:00Z,69,20.302,9411,0,38735,20
2020-10-03T08:00:00Z,58,22.612,9415,0,38672,20
2020-10-03T09:00:00Z,67,20.512,9424,0,38610,20
2020-10-03T10:00:00Z,64,22.368,9428,0,38550,19
2020-10-03T11:00:00Z,47,28.634,9436,0,38479,23
2020-10-03T12:00:00Z,29,33.51,9438,0,38381,31
2020-10-03T13:00:00Z,25,37.37,9437,0,38261,36
2020-10-03T14:00:00Z,22,40.452,9432,0,38119,42
2020-10-03T15:00:00Z,21,40.664,9426,0,37967,44
2020-10-03T16:00:00Z,17,41.7,9417,0,37808,45
2020-10-03T17:00:00Z,14,42.506,9405,0,37655,44
2020-10-03T18:00:00Z,13,42.65,9398,0,37499,45
2020-10-03T19:00:00Z,15,40.848,9390,0,37352,42
2020-10-03T20:00:00Z,17,38.804,9389,0,37213,41
2020-10-03T21:00:00Z,23,35.312,9393,0,37088,38
2020-10-03T22:00:00Z,31,30.176,9403,0,36986,31
2020-10-03T23:00:00Z,31,29.766,9409,0,36897,28
2020-10-04T00:00:00Z,58,27.88,9426,0,36807,28
2020-10-04T01:00:00Z,59,26.024,9434,0,36722,26
2020-10-04T02:00:00Z,64,23.59,9446,0,36644,24
2020-10-04T03:00:00Z,66,21.928,9445,0,36576,21
2020-10-04T04:00:00Z,70,20.868,9443,0,36511,20
2020-10-04T05:00:00Z,72,20.174,9442,0,36450,19
2020-10-04T06:00:00Z,74,19.62,9439,0,36392,18
2020-10-04T07:00:00Z,75,19.168,9440,0,36335,18
2020-10-04T08:00:00Z,77,18.502,9442,0,36280,17
2020-10-04T09:00:00Z,77,18.292,9449,0,36226,17
2020-10-04T10:00:00Z,72,19.452,9453,0,36172,17
2020-10-04T11:00:00Z,64,21.56,9460,0,36109,20
2020-10-04T12:00:00Z,54,24.79,9461,0,36035,24
2020-10-04T13:00:00Z,49,26.804,9457,0,35945,28
2020-10-04T14:00:00Z,43,29.438,9456,0,35840,33
2020-10-04T15:00:00Z,38,32.29,9449,0,35722,36
2020-10-04T16:00:00Z,36,33.282,9439,0,35593,39
2020-10-04T17:00:00Z,34,34.786,9431,0,35457,40
2020-10-04T18:00:00Z,33,35.354,9422,0,35321,40
2020-10-04T19:00:00Z,33,35.51,9417,0,35187,40
2020-10-04T20:00:00Z,35,34.7,9416,0,35061,38
2020-10-04T21:00:00Z,43,31.408,9418,0,34949,34
2020-10-04T22:00:00Z,53,28.222,9420,0,34858,29
2020-10-04T23:00:00Z,60,26.38,9426,0,34776,26
2020-10-05T00:00:00Z,63,24.89,9429,0,34701,24
2020-10-05T01:00:00Z,66,23.688,9434,0,34630,23
2020-10-05T02:00:00Z,69,22.582,9435,0,34562,22
2020-10-05T03:00:00Z,72,21.532,9432,0,34498,20
2020-10-05T04:00:00Z,74,20.658,9430,0,34436,19
2020-10-05T05:00:00Z,75,20.048,9430,0,34377,19
2020-10-05T06:00:00Z,77,19.508,9428,0,34320,18
2020-10-05T07:00:00Z,77,19.24,9428,0,34263,18
2020-10-05T08:00:00Z,80,18.732,9429,0,34208,17
2020-10-05T09:00:00Z,78,18.788,9436,0,34154,17
2020-10-05T10:00:00Z,76,19.976,9442,0,34100,17
2020-10-05T11:00:00Z,60,23.912,9449,0,34036,20
2020-10-05T12:00:00Z,54,26.224,9452,0,33956,25
2020-10-05T13:00:00Z,46,29.822,9450,0,33857,31
2020-10-05T14:00:00Z,38,33.99,9446,0,33737,37
2020-10-05T15:00:00Z,34,35.838,9439,0,33601,40
