air_humidity_100;atm_pressure_main;num_of_resets;piezo_charge;piezo_temperature;chuva
38.0;9412;0;45123;30;0.0
39.0;9419;0;44923;31;0.0
39.0;9419;0;44825;31;0.0
38.0;9416;0;44728;31;0.0
39.0;9411;0;44632;30;0.0
39.0;9413;0;44441;30;0.0
40.0;9415;0;44347;30;0.0
41.0;9419;0;44251;30;0.0
41.0;9425;0;44156;30;0.0
44.0;9438;0;43968;30;0.0
44.0;9437;0;43778;30;0.0
44.0;9432;0;43682;30;0.0
44.0;9460;0;43581;30;0.0
30.0;9473;0;42402;35;0.0
22.0;9379;0;42033;39;0.0
32.0;9389;0;41799;31;0.0
34.0;9394;0;41708;28;0.0
39.0;9394;0;41621;27;0.0
39.0;9401;0;41539;26;0.0
57.0;9400;0;41395;22;0.0
62.0;9396;0;41330;21;0.0
66.0;9398;0;41267;20;0.0
61.0;9397;0;41204;20;0.0
70.0;9398;0;41142;20;0.0
69.0;9407;0;41023;19;0.0
62.0;9414;0;40964;18;0.0
39.0;9422;0;40891;24;0.0
28.0;9425;0;40789;32;0.0
23.0;9422;0;40533;40;0.0
19.0;9415;0;40391;42;0.0
17.0;9408;0;40235;45;0.0
16.0;9399;0;40075;46;0.0
16.0;9393;0;39915;45;0.0
18.0;9387;0;39760;44;0.0
18.0;9387;0;39622;41;0.0
23.0;9391;0;39495;38;0.0
29.0;9395;0;39392;32;0.0
31.0;9403;0;39302;28;0.0
33.0;9408;0;39217;27;0.0
44.0;9412;0;39137;25;0.0
53.0;9414;0;39064;23;0.0
46.0;9413;0;38994;22;0.0
62.0;9412;0;38925;22;0.0
59.0;9412;0;38861;21;0.0
67.0;9409;0;38797;21;0.0
69.0;9411;0;38735;20;0.0
58.0;9415;0;38672;20;0.0
67.0;9424;0;38610;20;0.0
64.0;9428;0;38550;19;0.0
47.0;9436;0;38479;23;0.0
29.0;9438;0;38381;31;0.0
25.0;9437;0;38261;36;0.0
22.0;9432;0;38119;42;0.0
21.0;9426;0;37967;44;0.0
17.0;9417;0;37808;45;0.0
14.0;9405;0;37655;44;0.0
13.0;9398;0;37499;45;0.0
15.0;9390;0;37352;42;0.0
17.0;9389;0;37213;41;0.0
23.0;9393;0;37088;38;0.0
31.0;9403;0;36986;31;0.0
31.0;9409;0;36897;28;0.0
58.0;9426;0;36807;28;0.0
59.0;9434;0;36722;26;0.0
64.0;9446;0;36644;24;0.0
66.0;9445;0;36576;21;0.0
70.0;9443;0;36511;20;0.0
72.0;9442;0;36450;19;0.0
74.0;9439;0;36392;18;0.0
75.0;9440;0;36335;18;0.0
77.0;9442;0;36280;17;0.0
77.0;9449;0;36226;17;0.0
72.0;9453;0;36172;17;0.0
64.0;9460;0;36109;20;0.0
54.0;9461;0;36035;24;0.0
49.0;9457;0;35945;28;0.0
43.0;9456;0;35840;33;0.0
38.0;9449;0;35722;36;0.0
36.0;9439;0;35593;39;0.0
34.0;9431;0;35457;40;0.0
33.0;9422;0;35321;40;0.0
33.0;9417;0;35187;40;0.0
35.0;9416;0;35061;38;0.0
43.0;9418;0;34949;34;0.0
53.0;9420;0;34858;29;0.0
60.0;9426;0;34776;26;0.0
63.0;9429;0;34701;24;0.0
66.0;9434;0;34630;23;0.0
69.0;9435;0;34562;22;0.0
72.0;9432;0;34498;20;0.0
74.0;9430;0;34436;19;0.0
75.0;9430;0;34377;19;0.0
77.0;9428;0;34320;18;0.0
77.0;9428;0;34263;18;0.0
80.0;9429;0;34208;17;0.0
78.0;9436;0;34154;17;0.0
76.0;9442;0;34100;17;0.0
60.0;9449;0;34036;20;0.0
54.0;9452;0;33956;25;0.0
46.0;9450;0;33857;31;0.0
38.0;9446;0;33737;37;0.0
34.0;9439;0;33601;40;0.0
30.0;9431;0;33460;41;0.0
29.0;9421;0;33315;42;0.0
26.0;9412;0;33171;42;0.0
28.0;9408;0;33033;40;0.0
30.0;9406;0;32906;38;0.0
39.0;9408;0;32792;35;0.0
47.0;9413;0;32700;29;0.0
54.0;9417;0;32621;25;0.0
61.0;9420;0;32545;24;0.0
65.0;9421;0;32473;23;0.0
69.0;9422;0;32404;22;0.0
68.0;9417;0;32337;21;0.0
68.0;9414;0;32272;21;0.0
72.0;9412;0;32207;21;0.0
78.0;9407;0;32146;19;0.0
83.0;9409;0;32086;19;0.0
85.0;9414;0;32030;17;0.0
83.0;9422;0;31975;17;0.0
80.0;9425;0;31917;18;0.0
